Variant_ID,Target,MW_kDa,GRAVY,Instability_Index,Status
Mpox_L1R_Var_10_3254709966,Mpox_L1R,23.81,0.23,45.82,UNSTABLE
Mpox_L1R_Var_11_3254709829,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_12_3254709788,Mpox_L1R,23.81,0.23,45.82,UNSTABLE
Mpox_L1R_Var_13_3254709649,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_14_3254709608,Mpox_L1R,23.81,0.23,45.82,UNSTABLE
Mpox_L1R_Var_15_3254709469,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_16_3254709428,Mpox_L1R,23.81,0.23,45.82,UNSTABLE
Mpox_L1R_Var_17_3254709290,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_18_3254709249,Mpox_L1R,23.81,0.23,45.82,UNSTABLE
Mpox_L1R_Var_19_3062938959,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_20_3062938918,Mpox_L1R,23.81,0.23,45.82,UNSTABLE
Mpox_L1R_Var_21_3062938780,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_22_3062938739,Mpox_L1R,23.81,0.23,45.82,UNSTABLE
Mpox_L1R_Var_23_3062938601,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_24_3062938560,Mpox_L1R,23.81,0.23,45.82,UNSTABLE
Mpox_L1R_Var_25_3250750106,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_26_3250750065,Mpox_L1R,23.82,0.23,46.64,UNSTABLE
Mpox_L1R_Var_27_3250749929,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_28_3250749888,Mpox_L1R,23.48,0.18,46.74,UNSTABLE
Mpox_L1R_Var_29_3250749750,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_30_3250749709,Mpox_L1R,23.81,0.23,45.82,UNSTABLE
