Variant_ID,Target,Antigenicity_Score,Status,Notes
HIV_gp120_Var_10_2495240,HIV_gp120,1.0374,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p17_Var_30_341942259,HIV_p17,1.0235,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p17_Var_3_110815944,HIV_p17,1.0247,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p17_Var_4_110815941,HIV_p17,1.0222,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p17_Var_5_110815940,HIV_p17,1.025,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p17_Var_6_82281206,HIV_p17,1.0233,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p17_Var_7_82280741,HIV_p17,1.0231,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p17_Var_8_82280442,HIV_p17,1.0234,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p17_Var_9_75646898,HIV_p17,1.0212,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p24_Var_10_75646898,HIV_p24,1.0212,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p24_Var_11_75644695,HIV_p24,1.0221,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p24_Var_12_75643500,HIV_p24,1.0191,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p24_Var_13_75642719,HIV_p24,1.0173,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p24_Var_14_75627851,HIV_p24,1.0203,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p24_Var_15_75627485,HIV_p24,1.021,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p24_Var_16_75627146,HIV_p24,1.0209,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p24_Var_17_75627073,HIV_p24,1.0174,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p24_Var_18_3023824,HIV_p24,1.0191,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p24_Var_19_158931165,HIV_p24,1.0227,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p24_Var_1_302393736,HIV_p24,1.0315,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p24_Var_20_114152122,HIV_p24,1.022,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p24_Var_21_114149305,HIV_p24,1.0208,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p24_Var_22_114149304,HIV_p24,1.0207,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p24_Var_23_77416891,HIV_p24,1.0241,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p24_Var_24_77416888,HIV_p24,1.0228,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p24_Var_25_77416887,HIV_p24,1.0228,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p24_Var_26_77416883,HIV_p24,1.023,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p24_Var_27_120843,HIV_p24,1.02,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p24_Var_28_120840,HIV_p24,1.0177,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p24_Var_29_120836,HIV_p24,1.0191,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p24_Var_2_115502561,HIV_p24,1.0228,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p24_Var_30_120833,HIV_p24,1.0176,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p24_Var_3_110815947,HIV_p24,1.0229,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p24_Var_4_110815944,HIV_p24,1.0247,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p24_Var_5_110815941,HIV_p24,1.0222,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p24_Var_6_110815940,HIV_p24,1.025,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p24_Var_7_82281206,HIV_p24,1.0233,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p24_Var_8_82280741,HIV_p24,1.0231,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p24_Var_9_82280442,HIV_p24,1.0234,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_A35R_Var_10_2811178253,Mpox_A35R,1.0535,ANTIGENIC,High probability of B-cell epitopes; strong candidate.
Mpox_A35R_Var_11_2811178072,Mpox_A35R,1.0488,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_A35R_Var_12_2811177338,Mpox_A35R,1.0463,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_A35R_Var_13_2811177157,Mpox_A35R,1.0513,ANTIGENIC,High probability of B-cell epitopes; strong candidate.
Mpox_A35R_Var_14_2753775795,Mpox_A35R,1.0542,ANTIGENIC,High probability of B-cell epitopes; strong candidate.
Mpox_A35R_Var_15_2753775618,Mpox_A35R,1.047,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_A35R_Var_16_2753775438,Mpox_A35R,1.0479,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_A35R_Var_17_3058236721,Mpox_A35R,1.0316,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_A35R_Var_18_3058236720,Mpox_A35R,1.0371,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_A35R_Var_19_3058236719,Mpox_A35R,1.0315,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_A35R_Var_1_2835480444,Mpox_A35R,1.0511,ANTIGENIC,High probability of B-cell epitopes; strong candidate.
Mpox_A35R_Var_20_3058236718,Mpox_A35R,1.0315,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_A35R_Var_21_3058236717,Mpox_A35R,1.0316,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_A35R_Var_22_3058236716,Mpox_A35R,1.0371,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_A35R_Var_23_3058236715,Mpox_A35R,1.0315,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_A35R_Var_24_3058236714,Mpox_A35R,1.0315,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_A35R_Var_25_3058236713,Mpox_A35R,1.0315,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_A35R_Var_26_3058236712,Mpox_A35R,1.0315,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_A35R_Var_27_3058236711,Mpox_A35R,1.0294,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_A35R_Var_28_3058236710,Mpox_A35R,1.0411,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_A35R_Var_29_3058236709,Mpox_A35R,1.0315,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_A35R_Var_2_2835479726,Mpox_A35R,1.0529,ANTIGENIC,High probability of B-cell epitopes; strong candidate.
Mpox_A35R_Var_30_3058236708,Mpox_A35R,1.0315,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_A35R_Var_3_2835479013,Mpox_A35R,1.05,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_A35R_Var_4_2811179914,Mpox_A35R,1.0522,ANTIGENIC,High probability of B-cell epitopes; strong candidate.
Mpox_A35R_Var_5_2811179730,Mpox_A35R,1.0527,ANTIGENIC,High probability of B-cell epitopes; strong candidate.
Mpox_A35R_Var_6_2811179543,Mpox_A35R,1.0529,ANTIGENIC,High probability of B-cell epitopes; strong candidate.
Mpox_A35R_Var_7_2811179357,Mpox_A35R,1.048,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_A35R_Var_8_2811179174,Mpox_A35R,1.0515,ANTIGENIC,High probability of B-cell epitopes; strong candidate.
Mpox_A35R_Var_9_2811178619,Mpox_A35R,1.0537,ANTIGENIC,High probability of B-cell epitopes; strong candidate.
Mpox_B5R_Var_10_2566844204,Mpox_B5R,1.0496,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_B5R_Var_11_2566844026,Mpox_B5R,1.0478,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_B5R_Var_12_2566844025,Mpox_B5R,1.0496,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_B5R_Var_13_2566843847,Mpox_B5R,1.0478,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_B5R_Var_14_2566843846,Mpox_B5R,1.0496,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_B5R_Var_15_2566843668,Mpox_B5R,1.0478,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_B5R_Var_16_2566843667,Mpox_B5R,1.0496,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_B5R_Var_17_2566843489,Mpox_B5R,1.0478,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_B5R_Var_18_2566843488,Mpox_B5R,1.0496,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_B5R_Var_19_2566843310,Mpox_B5R,1.0478,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_B5R_Var_1_2637787204,Mpox_B5R,1.0478,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_B5R_Var_20_2566843309,Mpox_B5R,1.0496,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_B5R_Var_21_2566843131,Mpox_B5R,1.0478,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_B5R_Var_22_2566843130,Mpox_B5R,1.0496,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_B5R_Var_23_2566842952,Mpox_B5R,1.0478,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_B5R_Var_24_2566842951,Mpox_B5R,1.0496,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_B5R_Var_25_2566842773,Mpox_B5R,1.0474,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_B5R_Var_26_2566842772,Mpox_B5R,1.0496,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_B5R_Var_27_2566842594,Mpox_B5R,1.0478,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_B5R_Var_28_2566842593,Mpox_B5R,1.0496,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_B5R_Var_29_2566842415,Mpox_B5R,1.0478,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_B5R_Var_2_2637787203,Mpox_B5R,1.0489,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_B5R_Var_30_2566842414,Mpox_B5R,1.0496,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_B5R_Var_3_2566844742,Mpox_B5R,1.0478,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_B5R_Var_4_2566844741,Mpox_B5R,1.0496,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_B5R_Var_5_2566844563,Mpox_B5R,1.0478,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_B5R_Var_6_2566844562,Mpox_B5R,1.0496,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_B5R_Var_7_2566844384,Mpox_B5R,1.0481,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_B5R_Var_8_2566844383,Mpox_B5R,1.0496,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_B5R_Var_9_2566844205,Mpox_B5R,1.0478,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_L1R_Var_10_3254709966,Mpox_L1R,1.0554,ANTIGENIC,High probability of B-cell epitopes; strong candidate.
Mpox_L1R_Var_11_3254709829,Mpox_L1R,1.0335,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_L1R_Var_12_3254709788,Mpox_L1R,1.0554,ANTIGENIC,High probability of B-cell epitopes; strong candidate.
Mpox_L1R_Var_13_3254709649,Mpox_L1R,1.0335,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_L1R_Var_14_3254709608,Mpox_L1R,1.0554,ANTIGENIC,High probability of B-cell epitopes; strong candidate.
Mpox_L1R_Var_15_3254709469,Mpox_L1R,1.0335,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_L1R_Var_16_3254709428,Mpox_L1R,1.0554,ANTIGENIC,High probability of B-cell epitopes; strong candidate.
Mpox_L1R_Var_17_3254709290,Mpox_L1R,1.0335,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_L1R_Var_18_3254709249,Mpox_L1R,1.0554,ANTIGENIC,High probability of B-cell epitopes; strong candidate.
Mpox_L1R_Var_19_3062938959,Mpox_L1R,1.0335,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_L1R_Var_1_3254710729,Mpox_L1R,1.0335,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_L1R_Var_20_3062938918,Mpox_L1R,1.0554,ANTIGENIC,High probability of B-cell epitopes; strong candidate.
Mpox_L1R_Var_21_3062938780,Mpox_L1R,1.0335,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_L1R_Var_22_3062938739,Mpox_L1R,1.0554,ANTIGENIC,High probability of B-cell epitopes; strong candidate.
Mpox_L1R_Var_23_3062938601,Mpox_L1R,1.0335,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_L1R_Var_24_3062938560,Mpox_L1R,1.0554,ANTIGENIC,High probability of B-cell epitopes; strong candidate.
Mpox_L1R_Var_25_3250750106,Mpox_L1R,1.0335,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_L1R_Var_26_3250750065,Mpox_L1R,1.0556,ANTIGENIC,High probability of B-cell epitopes; strong candidate.
Mpox_L1R_Var_27_3250749929,Mpox_L1R,1.0335,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_L1R_Var_28_3250749888,Mpox_L1R,1.0529,ANTIGENIC,High probability of B-cell epitopes; strong candidate.
Mpox_L1R_Var_29_3250749750,Mpox_L1R,1.0335,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_L1R_Var_2_3254710688,Mpox_L1R,1.0554,ANTIGENIC,High probability of B-cell epitopes; strong candidate.
Mpox_L1R_Var_30_3250749709,Mpox_L1R,1.0554,ANTIGENIC,High probability of B-cell epitopes; strong candidate.
Mpox_L1R_Var_3_3254710546,Mpox_L1R,1.0335,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_L1R_Var_4_3254710505,Mpox_L1R,1.0554,ANTIGENIC,High probability of B-cell epitopes; strong candidate.
Mpox_L1R_Var_5_3254710365,Mpox_L1R,1.0335,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_L1R_Var_6_3254710324,Mpox_L1R,1.0554,ANTIGENIC,High probability of B-cell epitopes; strong candidate.
Mpox_L1R_Var_7_3254710186,Mpox_L1R,1.0335,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
Mpox_L1R_Var_8_3254710145,Mpox_L1R,1.0554,ANTIGENIC,High probability of B-cell epitopes; strong candidate.
Mpox_L1R_Var_9_3254710007,Mpox_L1R,1.0335,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
