Variant_ID,Target,MW_kDa,GRAVY,Instability_Index,Status
HIV_p17_Var_5_110815940,HIV_p17,161.56,-0.48,37.88,STABLE
HIV_p17_Var_6_82281206,HIV_p17,162.12,-0.48,35.89,STABLE
HIV_p17_Var_7_82280741,HIV_p17,163.29,-0.48,36.01,STABLE
HIV_p17_Var_8_82280442,HIV_p17,161.0,-0.49,34.02,STABLE
HIV_p24_Var_11_75644695,HIV_p24,55.3,-0.6,35.26,STABLE
HIV_p24_Var_19_158931165,HIV_p24,162.29,-0.49,39.89,STABLE
HIV_p24_Var_20_114152122,HIV_p24,163.24,-0.49,33.67,STABLE
HIV_p24_Var_23_77416891,HIV_p24,161.1,-0.48,36.89,STABLE
HIV_p24_Var_24_77416888,HIV_p24,161.77,-0.5,37.03,STABLE
HIV_p24_Var_25_77416887,HIV_p24,161.44,-0.48,37.44,STABLE
HIV_p24_Var_26_77416883,HIV_p24,162.33,-0.47,35.33,STABLE
HIV_p24_Var_2_115502561,HIV_p24,161.52,-0.5,36.61,STABLE
HIV_p24_Var_3_110815947,HIV_p24,161.65,-0.49,35.84,STABLE
HIV_p24_Var_4_110815944,HIV_p24,162.77,-0.48,35.67,STABLE
HIV_p24_Var_5_110815941,HIV_p24,162.16,-0.48,36.26,STABLE
HIV_p24_Var_6_110815940,HIV_p24,161.56,-0.48,37.88,STABLE
HIV_p24_Var_7_82281206,HIV_p24,162.12,-0.48,35.89,STABLE
HIV_p24_Var_8_82280741,HIV_p24,163.29,-0.48,36.01,STABLE
HIV_p24_Var_9_82280442,HIV_p24,161.0,-0.49,34.02,STABLE
Mpox_A35R_Var_10_2811178253,Mpox_A35R,16.53,0.23,35.42,STABLE
Mpox_A35R_Var_11_2811178072,Mpox_A35R,13.88,0.17,28.48,STABLE
Mpox_A35R_Var_12_2811177338,Mpox_A35R,18.29,0.1,26.51,STABLE
Mpox_A35R_Var_13_2811177157,Mpox_A35R,18.14,0.11,30.76,STABLE
Mpox_A35R_Var_14_2753775795,Mpox_A35R,16.39,0.23,35.48,STABLE
Mpox_A35R_Var_15_2753775618,Mpox_A35R,19.05,0.13,33.35,STABLE
Mpox_A35R_Var_16_2753775438,Mpox_A35R,19.15,0.12,38.01,STABLE
Mpox_A35R_Var_19_3058236719,Mpox_A35R,11.4,-0.97,39.61,STABLE
Mpox_A35R_Var_1_2835480444,Mpox_A35R,18.81,0.16,36.94,STABLE
Mpox_A35R_Var_20_3058236718,Mpox_A35R,11.4,-0.97,39.61,STABLE
Mpox_A35R_Var_23_3058236715,Mpox_A35R,11.4,-0.97,39.61,STABLE
Mpox_A35R_Var_24_3058236714,Mpox_A35R,11.4,-0.97,39.61,STABLE
Mpox_A35R_Var_25_3058236713,Mpox_A35R,11.4,-0.97,39.61,STABLE
Mpox_A35R_Var_26_3058236712,Mpox_A35R,11.4,-0.97,39.61,STABLE
Mpox_A35R_Var_28_3058236710,Mpox_A35R,24.38,-0.2,26.02,STABLE
Mpox_A35R_Var_29_3058236709,Mpox_A35R,11.4,-0.97,39.61,STABLE
Mpox_A35R_Var_2_2835479726,Mpox_A35R,17.96,0.15,35.26,STABLE
Mpox_A35R_Var_30_3058236708,Mpox_A35R,11.4,-0.97,39.61,STABLE
Mpox_A35R_Var_3_2835479013,Mpox_A35R,19.59,0.12,37.03,STABLE
Mpox_A35R_Var_4_2811179914,Mpox_A35R,18.39,0.19,32.18,STABLE
Mpox_A35R_Var_5_2811179730,Mpox_A35R,17.8,0.28,31.45,STABLE
Mpox_A35R_Var_6_2811179543,Mpox_A35R,14.09,0.21,39.0,STABLE
Mpox_A35R_Var_7_2811179357,Mpox_A35R,16.5,0.17,34.2,STABLE
Mpox_A35R_Var_8_2811179174,Mpox_A35R,15.46,0.17,34.72,STABLE
Mpox_B5R_Var_10_2566844204,Mpox_B5R,65.73,-0.11,38.65,STABLE
Mpox_B5R_Var_12_2566844025,Mpox_B5R,65.73,-0.11,38.65,STABLE
Mpox_B5R_Var_14_2566843846,Mpox_B5R,65.73,-0.11,38.65,STABLE
Mpox_B5R_Var_16_2566843667,Mpox_B5R,65.73,-0.11,38.65,STABLE
Mpox_B5R_Var_18_2566843488,Mpox_B5R,65.73,-0.11,38.65,STABLE
Mpox_B5R_Var_20_2566843309,Mpox_B5R,65.73,-0.11,38.65,STABLE
Mpox_B5R_Var_22_2566843130,Mpox_B5R,65.73,-0.11,38.65,STABLE
Mpox_B5R_Var_24_2566842951,Mpox_B5R,65.73,-0.11,38.65,STABLE
Mpox_B5R_Var_26_2566842772,Mpox_B5R,65.73,-0.11,38.65,STABLE
Mpox_B5R_Var_28_2566842593,Mpox_B5R,65.73,-0.11,38.65,STABLE
Mpox_B5R_Var_2_2637787203,Mpox_B5R,65.79,-0.12,37.9,STABLE
Mpox_B5R_Var_30_2566842414,Mpox_B5R,65.73,-0.11,38.65,STABLE
Mpox_B5R_Var_4_2566844741,Mpox_B5R,65.73,-0.11,38.65,STABLE
Mpox_B5R_Var_6_2566844562,Mpox_B5R,65.73,-0.11,38.65,STABLE
Mpox_B5R_Var_8_2566844383,Mpox_B5R,65.73,-0.11,38.65,STABLE
Mpox_L1R_Var_11_3250749750,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_13_3250749570,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_15_3250749390,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_17_3250749162,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_19_3250748996,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_1_3062938959,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_21_3250748834,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_23_3243982241,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_25_3243981888,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_27_3243981653,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_29_3243981454,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_3_3062938780,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_5_3062938601,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_7_3250750106,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_9_3250749929,Mpox_L1R,27.3,-0.0,33.47,STABLE
